Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
27b961f2b40a2d2ba695dc50774bed32401201be,2,111.1410172,201.8686217,21.24494011,,,49.83,8.855,29.803,7.597,,8,0,1
1af9b95aa30c8383588e169bf2fe749c3e9c7c64,2,0.303,1.541597677,27.57474803,,,28.817,8.218,15.243,3.827,,33,0.6,0
62b510f93283fee7225b56c95b6d017b8546367f,1,3.991661013,3.195506584,30.63478928,,,50.987,8.536,32.475,7.669,,6,1,0
cc37692b8edbb78cdee140d5c487e0bb42ec3e05,0,15.11048415,0,0,,,67.661,8.444,45.332,11.441,,48,0,1
234062c7d9e7917e2ff01ac3b534e053759c5c6c,5,43.40541917,289.1051423,44.01463473,,,29.261,8.658,15.154,3.831,,24,70.4,0
82403d07579665a0c194a638425ac24e08581ac2,10,92.93850785,6715.585942,43.7833464,,,52.091,8.283,33.987,7.672,,62,127.26,0
8dcf11911ab73ddb5455853a31149a00549261b5,2,9.446690757,9.048448093,27.83626794,,,29.485,8.351,15.68,3.884,,17,0,1
69dd16f5348514607101931c982ff2c377dd02bf,1,0.02,0.84624913,9.493551612,,,26.913,8.466,13.218,3.435,,3,0.02,0
2df55d424f80c096d0916a733c8c5292c4b1fdf5,0,0.404,0,0,,,29.328,8.504,14.924,3.712,,4,0,1
591af95e0a51d067f69f0ddf1a0ac54ef5c04842,2,4.132578198,9.13521918,31.42207192,,,47.754,8.225,29.732,7.598,,31,0.2,1
c886434a34107af01ae3cf70645e8e7d8aaa9ede,4,49.46562944,7621.188903,26.93733727,,,48.957,8.877,30.372,7.422,,17,32.4,1
15e12379bea9bb9ce112fcfbab0a0a9c8899845a,15,153.4237667,814.5890763,207.486557,,,86.263,8.203,59.791,14.812,,447,0,0
f45c4301de8bbcb50227e0663f20c5f0870636d3,3,15.8586904,352.4932476,142.1298589,,,69.392,8.347,46.842,11.286,,42,7.36,0
9aae655438b46e33213f50e27997be667ec9ff38,0,14.63406843,0,0,,,29.291,8.266,15.505,4.001,,12,0,1
ac96d6242fa9c88f7fad3b3a08b8a5f11fa2b979,1,1.538130249,0,18.94923119,,,29.366,8.359,15.613,3.928,,12,1,0
7b52ba80498be2c019d7b4cba9e1af9bce2b7e2e,0,69.55595975,0,0,,,29.268,8.329,15.565,3.889,,50,0,1
44173949e8165537b201d4efd024e31e6e8b06eb,16,1049.789407,25465.60348,376.7887874,,,86.503,8.311,58.92,15.142,,308,159.375,1
a1222147c2d3a99aa19776ee2dea30974d57571a,8,446.3574582,35900.42882,496.7071078,,,163.893,8.172,120.474,28.919,,347,1.16,1
cf94289a3ee4c8ac9d9e958f2e8bbc06efd24d48,4,340.4855208,8969.418252,48.24979119,,,28.393,8.145,15.025,3.733,,28,0,1
f87f0b37881e927346af7aa732f4be05ef0c14a4,2,587.1314609,2553.130776,318.7456153,,,62.561,8.227,40.772,10.681,,258,7.21,1
f2aa3089560eb00cc973b0cb12ead7c3424536bb,4,35.85303875,11021.7651,112.7600058,,,46.09,8.184,27.938,8.016,,75,68.478,1
caf0b99cfa99392e48e85aa103c815e4e9debfac,2,0.1,0,0,,,25.556,8.248,12.478,3.392,,4,1.031,0
bd39a1c9cfb3ee394791f7e015a3045d042c01ba,2,4.632200926,936.3255633,22.69379936,,,61.83,8.146,39.414,10.637,,10,13.98,0
d63b4bd3e61e83b6dbe7b3d6f81a06967f17e784,0,2.525,0,0,,,31.149,8.284,17.215,4.165,,20,0,1
c99a79a0d0d7ffa7281c49c270ea6326f08cb0cc,0,2.222,0,0,,,123.065,8.338,88.021,22.193,,76,0.2,1
cfd100d631d2c960a2d109fdddb2bf8e9db44c27,1,22.85538355,8.49525029,84.18087033,,,28.836,8.246,15.214,3.828,,63,0,1
47231757c0e1c5b201889e8f3607470321b60e48,3,301.5233263,2271.219253,34.89177058,,,67.654,8.328,44.456,11.217,,43,7.131666667,0
7b32c729873802df59b82a8ef7d6db27ceccf221,0,1.437288188,31.44585574,29.43526496,,,48.906,8.419,30.552,7.556,,9,0,0
ad82cd5ebc55bf52647bb419cf9bc0ebd061b3c2,0,1.075657037,5.970741378,7.034805905,,,28.946,8.283,15.3,3.896,,3,0,0
f38c4940fed0cd9abc652f3c539f2306295ae576,1,1.795636176,0,9.493233995,,,25.09,8.319,12.021,3.312,,12,0,0
20585e0843ded9452b8ecf5fcb3aa74dafd2bd2c,0,7.091728182,0,0,,,24.455,8.284,11.311,3.467,,13,0.8,0
cbb7227c1f19e9b72e9ab65230d3fce570bf9f8b,0,44.36160204,0,0,,,161.905,8.282,119.659,29.129,,130,0,1
d78ed6baf1cf85849e2e9ab69115ce73853dc088,2,161.1235793,5498.148876,44.51063059,,,25.519,8.509,12.143,3.436,,32,23.89,0
9539506e87648d753c44b68b3dfbdd1938c09315,0,780.3451286,0,0,,,369.012,8.308,275.936,72.761,,641,5.2,1
dc9af47ef6149c7895ffcac9ede4d33fb37dfd3b,1,18.34461992,22.09473751,18.92449031,,,24.38,8.152,11.62,3.147,,27,5.02,0
3d83402d6fa39224ab6650f6a011322e7ac4ab5a,1,18.78787365,248.0496707,21.53888821,,,68.468,8.117,45.05,12.646,,18,5.04,1
b805e90dd082b4549ef4d565d13c6db8fdb96a5e,2,33.59866311,838.8415833,162.0951417,,,160.805,8.167,117.29,29.5,,51,7.72,1
