Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
8186ee338f01a1fd90028de88638032cc2dbea64,6,45.4924782,532.4319343,196.3379975,,,27.28,5.27,15.316,3.809,,1261,0,1
ac9f449b792169ff51b42f9825287c1c7be5bceb,0,0.01,0,0,,,24.365,5.214,13.869,3.519,,3,0,1
155ef4e5341628c4d37595aaf67aff6bccb7e590,2,39.4368446,771.5531314,10.87595668,,,23.6,5.266,13.081,3.578,,6,0,1
3ae449bc88c09a35693231ab0c42b03f9c02cae9,2,20.23719689,1680.809398,14.81040843,,,23.939,5.128,13.502,3.57,,2,11.1,0
a374f356283a968897ef9ca3169c574108fa611e,1,7.026210398,0,0,,,23.7,5.085,13.267,3.645,,2,0,1
bda1a3f664f7feeeac5d1ea2348ccc6c51293b0d,3,576.5323439,14221.05103,120.8925145,,,99.907,5.157,71.718,17.763,,155,46.53695046,0
ce7da84482ae133e80d7051d13c21f9ce32ae856,3,58.18133673,428.1074392,28.80186639,,,44.301,5.107,29.713,7.396,,20,3.72,0
c01ee9a87463682eab74186bed3bc428299f4567,1,0.001,67.72382733,58.16868081,,,57.646,5.074,38.82,10.512,,72,1,1
bbff53160f71735df6394c24989926d31abec1a4,2,2.076376301,156.2252944,16.01000488,,,45.053,5.066,30.203,7.404,,8,1.822,0
611118338bd16ea706cc126beacf2ff0e94f3188,0,10.38348033,798.2780233,39.66094721,,,44.645,5.055,28.581,7.668,,16,3.153,0
9288fcc7084bd492e550d130f566bfcfca9322cc,1,1.265659134,99.97566969,7.718682454,,,24.008,5.09,13.542,3.525,,5,0,1
3195a506faebefcb114a74c8de1a6c9b468c6acf,15,592.741915,11953.13148,245.9620917,,,132.749,5.141,96.456,24.922,,332,5.286,1
0ee055d21c080f9303c13aa2a018a0748ff0d1fd,0,2.060316382,0,0,,,40.239,5.08,26.074,6.956,,6,0,1
c8d0e571a700e2d7bf0c1afd6b488b9729b8facf,1,10.08234001,0,22.81781282,,,39.677,4.997,25.586,6.964,,5,2.5,0
15ba0e88661a466e8fc8555549a12096e9093f42,1,262.4349671,136.846984,33.65531443,,,176.07,5.023,129.829,34.681,,41,68,0
bc2bf739f40b3ee8dccc49cb82e6f436f9eae77d,1,47.38026421,96.89909925,130.1048445,,,139.912,5.034,101.469,25.837,,42,9,0
d36f9876740c487e7ef699c405376495a336a510,1,0.434,10.83394763,23.09108699,,,47.371,5.329,32.023,7.335,,3,0.03,0
c1040ef92e2caf30234b9f0734798cf707b4904c,1,2.614,366.1071813,265.4268861,,,234.514,4.901,174.626,45.153,,102,0.57,1
af3b0c70ef61af13c23f9f0f0bf4bba497d0bf65,2,139.4692332,3224.316737,26.64879429,,,45.671,5.117,30.3,7.454,,18,16.39666667,0
600caf446b97e62250499a9ab76bed231a80d00e,0,1.412,0,0,,,797.974,5.023,599.23,169.703,,48,1.2,1
b986b3135cde13fb43e5c8fab0be670dd459b3a0,2,34.3829754,1143.174652,14.821575,,,22.826,4.982,12.753,3.439,,6,0,1
0c8c2ea5f2b13e495f60c94b0f0dda8eaa686763,0,0.1,0,0,,,22.863,4.975,12.877,3.47,,13,0,1
a5a98e4427efb623631df688719123bffd24cb44,3,3957.756929,74855.94211,117.5013908,,,26.32,4.965,13.531,3.548,,340,0,1
db89b3d66c21c1181ce3afaf049a55e8271a9303,1,10.40053633,113.2947064,10.04174296,,,22.749,4.991,12.722,3.419,,6,0.751,0
15bacae628b97b0c3dc785f76b0fd2601a03a9d8,2,101.902627,12797.03092,22.54687679,,,25.311,4.978,15.064,3.705,,13,11.5,0
c8a5398567cd44fba754aa823e48ec0773bcf03b,1,11.42989785,20.16296945,10.07394443,,,22.019,5.031,12.195,3.368,,15,0,1
f05948f438d339ea563b69a0c37136d674065ce7,1,0.752404133,116.9265357,21.85198278,,,23.944,5.123,13.318,3.881,,6,1.1,0
d8ed2f474751fc46c3599beea131fc1587dfb216,5,297.1743692,13336.68563,91.6792644,,,60.049,5.368,41.15,10.313,,129,2.02,1
4693924121612b792866b8b90d9cadb2e6d35814,3,9.169355133,0,11.50156101,,,22.445,4.99,12.501,3.417,,28,0,1
f953c5950ef50a7e88499d2fe00adf55cf92fb63,10,73.28576132,4903.361017,59.31988631,,,21.198,5.002,11.667,3.222,,49,0,1
2e48a4deb15f4e67c34742c5736623a85f3fbd5a,6,389.6508856,5627.240126,53.4532911,,,22.87,4.938,12.704,3.493,,123,0,1
e81c24c86f7998602211a138e721e97c78f63ac6,5,87.67285768,6985.476773,77.77774362,,,22.908,4.913,12.797,3.451,,97,0,1
fe777fbdcd0edc722d5565fdf60b0c50250bad66,1,10.24211616,133.8507966,10.13589393,,,22.603,5.007,12.582,3.438,,4,0.751,0
63de2d9e70f22747a97b0ad291838a85016bf5f5,1,13.64745274,0,0,,,38.864,4.99,25.089,6.734,,4,0,1
cef8deff384d3ba46649e8171b8d39a928c13373,8,105.6334081,4742.145585,56.06091184,,,22.004,5.317,12.041,3.253,,79,0,1
08a223ab8f79b340dbfb1579d932c9c35bcaa24b,4,36.75837492,1073.794168,14.44375896,,,22.534,4.97,12.576,3.442,,17,0,1
c13f29d3618b73b523cc99abe1c14d69d4d2d907,2,3.207219629,0,0,,,22.439,4.924,12.601,3.395,,12,0.09,0
d6ebe7c35096ba9c75f993b7e731f79f035ba8c6,1,1.647180275,133.5393371,10.72471688,,,22.56,4.916,12.573,3.505,,4,0.02,0
058dc96ffd9f7e7485e44359997d076653cf195d,12,123.8649313,4755.058395,47.72846123,,,21.309,4.946,11.805,3.244,,142,0,1
42eb77c321f7dc17aaff45e45ac1179256517005,8,790.9677272,48887.29982,142.5618219,,,62.88,4.863,44.374,10.952,,155,22.8,1
fea91e31bef4b3d0a7e52bfca7ccfdedb5b54cc9,0,93.05960534,0,8.153762551,,,21.905,4.839,12.237,3.347,,53,0,1
