Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1,排除AST标准化前,排除AST标准化后,排除CM标准化前,排除CM标准化后,排除weight标准化前,排除weight标准化后,排除pdg标准化前,排除pdg标准化后
6f2e68d054ffae40d6fb68b4d11f0f248b2ef568,2,0.803,0,0,,,98.648,19.762,58.385,15.299,,15,1,1,,,,,,,,
f90e61a2b498205ee1cd81c89e87b41746f60108,7,1069.69413,193670.0686,182.8820258,,,158.274,19.658,96.094,24.004,,152,96.3606541,0,,,,,,,,
d9d6b1fc28a72bd8610939017802de90ce72f574,3,62.08639719,209.5191307,153.8005365,,,173.189,19.453,116.361,31.727,,102,4.92,1,,,,,,,,
5165bddec796a1e2278c01412e06f44de52c911a,1,112.5124714,6657.335811,117.7078526,,,141.242,19.334,92.503,23.964,,113,8.07,0,,,,,,,,
ecabbb231f5628980ba480970c4b298256f215c4,2,341.898332,3481.034011,44.25161782,,,118.769,18.627,76.917,19.494,,97,24.20637037,1,,,,,,,,
0616d82dc1906a1e203a5ee177f375f74ab62c1a,1,0.303,0,0,,,42.78,19.23,17.839,4.011,,8,0,1,,,,,,,,
afc1f9beccc1beee119bee3722efdf876bb77d4b,2,2.808835146,221.8695095,127.1965272,,,139.716,18.797,90.735,22.778,,51,3.4,0,,,,,,,,
718f3d2111c5e0ab1649cc43065df33c882e1a7c,1,2.572,101.461962,25.00651538,,,162.15,18.651,108.62,28.461,,39,0.58,1,,,,,,,,
b33a4a6ce5ad48964d0e7a7fb9cb013b1062e97d,5,739.8688251,20474.15169,91.21747741,,,66.365,18.491,34.711,8.498,,355,19.62,0,,,,,,,,
694464f2f9cf9463626a75b98deebdeddb12c43b,1,0.404,0,8.387139252,,,147.69,18.463,97.473,26.793,,33,0.01,0,,,,,,,,
97828f33e10b43893c26f5511e43359addaf8b53,1,0.003,0,0,,,39.302,18.671,15.255,3.55,,3,0,1,,,,,,,,
193f06bdc45d67f278073444cd8e763eb6e90a3b,1,2.863032854,12.38726008,127.3547192,,,257.723,19.18,181.086,48.911,,15,0.3,0,,,,,,,,
22a46183415828655449bee97c0a25c18f952fc6,1,0.04,0,8.489208296,,,38.189,18.839,13.737,3.656,,5,0.07,0,,,,,,,,
272c917af1dc6827c3f585e4a6de25a519c067c4,1,2.484679005,1219.486674,21.77874418,,,42.367,18.824,16.144,3.812,,3,1.04,0,,,,,,,,
cb5b58e09def200c5069eeaa5bae1dcf9bf466cb,1,24.88104669,124.3518421,9.494370194,,,36.872,18.555,12.917,3.685,,5,4.241,0,,,,,,,,
45fc59324c101d4ab7c7339282f8b23d08c829ca,1,1.998296502,273.2359866,30.40042657,,,58.507,18.918,28.111,7.319,,9,0.12,0,,,,,,,,
48f38890712b5b9998c7e88b5f35922ddfaabf20,1,24.98119283,21007.33163,81.1983708,,,102.88,18.617,60.773,15.139,,20,3.044,0,,,,,,,,
b93cdf42778a86114512c23f21b271261a38cbe5,1,116.5686236,4806.70411,34.81144784,,,71.758,18.681,38.807,10.478,,24,5.155,0,,,,,,,,
e48bc7176be16e3f47fc107f45295e93af3af26f,1,1.452367903,61.76331585,9.343279088,,,41.576,18.284,17.39,4.234,,4,0.711,0,,,,,,,,
a988069f02602a32b42e4b14b409136b1496c1a2,1,25.35335297,582.4953474,10.78739136,,,38.077,18.541,14.294,3.613,,4,1.711,0,,,,,,,,
925a746106c08a6e66c4b370bdb573f02772284a,1,1.016371431,371.8619896,13.27586948,,,35.729,18.574,12.204,3.408,,4,0.711,0,,,,,,,,
83083297e82418cd19f2ddaa7bca68b12798b02a,3,38.19089416,927.5861375,13.06288153,,,35.615,18.541,12.248,3.247,,24,2.57,0,,,,,,,,
d819159cc41f01ae26fb0f0671338c1ae4b2c133,8,107.5543219,1739.574046,53.80780909,,,35.925,18.596,12.442,3.359,,46,0,1,,,,,,,,
8c7d340e93205f87789dceb890ce6d2ce80a304a,2,3.226097276,64.76103281,9.145754857,,,36.95,18.765,13.098,3.408,,15,0,1,,,,,,,,
2ba85c61358d3521d14560d1d8fc69958f2a769a,1,1.710400118,1751.192717,64.00365304,,,86.761,18.57,48.795,11.975,,15,1.313,0,,,,,,,,
9edf9435c2f050a41f7fe3e0823d7d5a2d5c0788,1,7.713611542,83.28399507,17.8157932,,,51.69,18.631,24.533,6.596,,6,4,0,,,,,,,,
