Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
5b64f485e1340c2aef6bc446ee2fde6349c4c1df,2,0.804969953,0,14.02161313,,,25.684,3.1,14.902,3.927,,13,1.56,0
b16611cecea8b10a12c81ee00fc52d5126143722,1,0.1,0,0,,,22.166,2.917,13.609,3.52,,3,0,1
80375b75133ee8f12c65cbf9e2963e5e6ed60cd0,1,2.627698948,0,14.00412872,,,25.701,3.244,15.404,4.16,,6,2,0
1270c8e90eef88474726c65f908e3d69ce18a465,2,2.235627794,0,14.24493024,,,24.349,2.935,14.416,4.038,,12,2.25,0
36b02c2cba36637669c6faf680932a23a540fc0a,4,344.6972292,0,12.21420937,,,24.17,3.114,14.556,3.734,,58,0,1
1c3468d72202d957e4a30203ba43d9456ffc54cf,3,42.92452518,0,22.40071543,,,22.592,3.078,14.033,3.541,,102,0,0
dfc860468bf028a1ac762473e03872b1b7dbb1b6,2,32.62605335,2392.128854,13.69184376,,,22.528,3.14,13.764,3.615,,8,16.06,0
cd3769ce780261eb19d95171997d38fda8661455,6,249.8485804,11835.60816,73.2326681,,,21.564,2.981,13.218,3.645,,87,0,1
2a74c41ff599b704f9009de56e946d3358ca7219,3,634.2327704,0,47.93619991,,,61.612,2.851,43.395,11.29,,42,0,1
9ba4677b42255a6c91efca764895d7e81a601aa9,1,1.633761934,0,0,,,24.157,2.913,15.664,3.981,,2,0,1
cf379d1ff144236d12ef7b9cdf378265a425d954,3,16.0173514,3.118410844,69.65003276,,,140.127,3.082,103.387,26.265,,30,3,1
b176601de87bfd2a2a04a08868081787be11b122,2,816.1625456,0,89.82556472,,,27.086,3.33,16.277,3.85,,75,0,1
d5dfc90057b6c6cce216e56f5e29684208b88d92,2,0.946770128,0,9.345924029,,,24.186,3.001,15.835,3.775,,4,0.73,0
b5fcd34e2730a400712203b3ccdc24a3e1ff48af,4,130.7653064,0,9.694094969,,,23.317,2.933,15.029,3.811,,34,0,1
6887392841651bbe1d126ddb45c5e41e6c2c5bd4,2,36.68870154,0,9.66277205,,,23.922,3.044,14.974,4.334,,8,6.7,0
a1e5396e968938790489a5eefb2c7d5fe7994c28,1,0.003,0,0,,,19.697,2.89,12.082,3.262,,6,0,1
b270424ad79370e29b757ed1158cf12d83d05e9f,2,38.39721235,0,9.704595221,,,23.558,2.827,15.535,3.727,,14,5.021,0
840d4f66fff2457847b7311c2119cf573bf52995,2,0.03,0,26.34525247,,,36.182,2.845,24.567,6.672,,3,0.06,0
0c013489a523096b14d5e65339761ce8feafda75,2,68.96117777,25678.45111,18.68413559,,,23.787,2.887,14.669,3.454,,2,15.1,0
cac3ab9d291b760fb9a4e7fa4457bc87d736bf3f,5,88.94620659,0,35.64950534,,,23.068,2.893,14.77,3.721,,27,0,1
0629c6f53d8744c69fc7e636e91db627031736a1,3,123.8835715,0,10.16374604,,,22.663,2.901,13.727,3.602,,12,7.0625,0
fd3e20a4764014db5677ff1c52625b3b0f02922f,1,2.117322634,0,9.466764389,,,22.421,2.923,13.514,3.549,,3,0.02,0
250f9f77ee493484b2179d8f3456ed52ad263eab,2,85.93449975,0,9.992225999,,,22.459,2.808,13.677,3.52,,4,0,1
2b159df9712c8186b66821f0de613ddc831c6a75,1,9.432136609,0,9.992225999,,,22.171,2.901,13.764,3.568,,11,0,1
60f4369518260db4d8af5d3207b487d6d1e0ab29,2,8.150993564,494.5012886,29.99204298,,,37.547,2.752,25.735,6.661,,75,0.08,0
9d0ef04f3ce00afee509328772ec1f39e62da759,2,43.96480323,10654.19609,51.9901612,,,76.196,2.816,55.234,13.597,,9,14,0
d0bf57f2a122d2a8b4a5309cc65d4ea47ad49c21,4,574.864443,3669.400128,42.69588935,,,35.139,2.854,23.985,6.429,,60,0,1
9e88aeae179c01cad1c9e0c94b9d9b0ed5ec3f24,4,144.7838924,28055.8767,118.3217118,,,93.181,2.819,67.393,17.564,,187,1.43,1
