Commit Hash,Human tagged data,DEffort score,我的分数,我的分数2,标准化后的分数,,标准化前,标准化后,,,总时间/s,调用图时间/s,DDG/s,CDG/s,Changed LoC,ELOC,ERROR for 1
240edb5c42aa9295bc674c93d25ffe801c13a5c4,1,0.43,26297.92223,81.96901812,5.81830188,,81.96901812,7.823951942,,,176.601,158.776,11.907,3.23,32,1.711,0
679140e0ad6c0bb1cd3b8397f32c5fe55fc7f3b1,3,1.5,9745.656819,64.89893553,11.44695527,,64.89893553,13.60390372,,,204.558,158.426,34.178,9.446,78,1.09,1
16a43f59be6130dd7d8346401e1575a2f1a2e435,15,490.0516909,129802.1369,75756.5385,391.4109774,,49333.5642,348.6861643,,,345.622,157.407,142.639,36.534,237,29.15,1
7abc84fc2c208f148970ca854f2f6a59466e47ae,5,5.450556941,3105.304661,2607.679404,23.97929021,,1539.625988,23.60870749,,,192.788,160.366,23.767,6.415,8,0.02,1
19bd016801b2fe99c673479e69bced84ecff83e7,8,176.3754004,44791.05871,28257.58545,53.69358125,,14916.16336,36.34523608,,,176.081,158.506,12.524,3.255,9,0,1
097bff1a792e39f4e0b2807faa53af0e89fbe5e0,13,200.9074206,9637.90882,7241.411051,52.97376286,,4718.644237,44.08692584,,,207.311,161.909,34.766,7.89,93,0,1
d91c05993b17a5aff28a33810fc263402824f508,10,117.1644277,0,74652.22712,42.01474579,,54773.20208,23.31544602,,,185.244,160.092,17.469,5.616,7,30.1125,0
560782c9ee12120304284ba98b61dc61e30324b3,11,192.5788964,15133.24595,11775.81767,60.70382182,,6735.599352,47.30575807,,,206.565,162.915,32.898,8.164,46,0,1
dd3de5f84bcbf0c13ad60df0c3feb9d564727447,4,3.714984883,11.34345659,2.803454272,6.259304817,,2.803454272,8.051338021,,,195.069,160.156,26.847,5.275,3,0,1
0814909139735ea4c7648e755630fd49da7be059,4,3.714984883,1.620493858,0.550967892,6.218348952,,0.550967892,8.023887933,,,195.196,159.435,27.798,5.511,24,0,1
c04ceb9bc71295fec691f99f7baaee31ba1aece7,4,3.714984883,11.34345658,2.803454271,6.259304817,,2.803454271,8.051338021,,,202.169,161.079,31.75,6.854,3,0,1
aa71e753d8473830da9f5ff9460ebdf4b4e0ee5b,16,686.4324801,25037.39222,47905.90413,94.11136607,,40209.71684,70.52586306,,,212.582,174.899,27.561,6.931,42,0,1
39bc3cb12a982d0225521e6f1d10bd01bd9a2575,12,48.92216939,3633.160287,1753.300643,34.04416451,,898.4437077,28.20867775,,,209.554,167.027,32.534,7.617,14,47.88,0
6841ca79104f6b78179e44b56ae9a033b8131c70,0,14.30135309,1.600556968,1.600556573,6.62762838,,1.600556573,8.265847616,,,214.003,178.027,28.571,4.994,3,0,0
9130f8e78ed0d8bdf4b56058ae540c50f0b413ce,2,6.951475451,0,405.3615871,13.03946184,,405.3615871,13.58842162,,,200.545,179.703,15.18,3.823,1,5,0
f33474b4c618ee86cde67d5f589e447409183837,7,114.2639673,583.0485861,309.7041179,18.9977132,,309.7041179,20.57083477,,,213.212,175.556,29.207,5.48,31,0,1
b1b7a681989c5f7fd86d6c618c9fb5e806ccb99f,1,8.653058115,231.1026166,7.153603802,12.39068729,,7.153603802,16.05212294,,,205.995,167.41,30.025,5.615,18,0,1
869746101f6dd73b70d8a9c2b6dc59de4352519e,13,284.059387,2963628.49,26558.85517,69.6885879,,10226.8569,41.86797285,,,209.842,158.227,39.673,8.542,40,129.7,0
751291fc5e275d0222ddaf75053fac5be9b487db,22,1684.124095,7841526.658,1.20E+07,2093.937006,,6208092.749,1360.491116,,,325.086,161.017,113.173,26.703,2326,28.88,1
8b02d16b8dc49f39a624dffaab0da46ed7ef064e,17,740.155503,789929.2892,1305566.061,1042.952225,,763934.39,948.5920333,,,309.216,161.858,102.598,23.462,2306,8.93,1
f10d080d456643bbcb07301e4080ec5291fa85cc,26,2287.649556,7655330.566,1.32E+07,2043.092558,,5991121.848,1300.624577,,,306.32,161.053,100.934,23.432,2294,13.88,1
84835dd3cfb46939eb595742ea8d7d74918034bd,13,494.1857878,5075.314451,2565.388075,52.74940951,,2565.388075,47.53942241,,,198.313,161.184,27.617,7.283,44,0,1
b1838616943188618bd9d0323df65858e7e662b1,12,544.6753591,2831.324812,572.9459559,43.20730859,,572.9459559,37.513582,,,207.044,162.763,33.697,8.294,16,48,0
960fa3152d0b2e983522456937c9d47e8d24a7d9,11,224.9498233,12859.29934,5917.660958,47.01784787,,2015.821353,29.77789291,,,184.864,163.565,15.519,8.294,22,0,1
5271d86fc4a796c14b9713df973cfeec3f583e95,14,537.0122887,110683.3393,75428.45135,124.7838287,,48885.93,96.95436459,,,289.742,160.688,98.081,21.756,57,34.2,1
02f5b0afeb2ac71ef7fea5834743566ba9c6947b,7,137.9991431,5740.355165,1772.470025,43.02865581,,1772.470025,55.51273933,,,301.755,153.82,117.198,25.024,51,9.971,0
bd2531617cd614c71cc768d7fea002813224abb7,6,63.92283984,19701.18958,19843.13666,47.25287362,,18969.8355,38.89103794,,,189.676,154.17,25.805,6.547,41,2.52,1
25398e4e20efa1a8c7dc2c4947d83c1233083f09,3,2.982808714,203.5273039,203.5271072,7.980355789,,109.069848,8.66366572,,,173.772,155.958,12.359,3.711,4,1.02,0
11405d48f8bfebb1568e7a7c32ccfb46399799f0,9,33.88377906,937.7914415,2813.373986,28.49373815,,981.6291169,22.09731661,,,191.866,155.535,27.376,6.917,20,5.5,1
91ef13b5a1235626c8452f2ce2c6d87a76daf695,25,427.4577401,2068.99072,7527.323117,43.92167419,,7527.323117,36.61698476,,,193.436,155.051,29.024,7.008,85,23.6,1
4dbbfcfb4c1c06ac6f85e3ad2ed6a2c4b7ba5484,60,15127.37979,8666553.068,524130.8956,20222.13227,,302220.7339,19665.67637,,,1935.682,160.095,1338.673,376.39,9829,5321.342968,1
d54d159f209839a5a5ae885d222f1989f6af0ce7,15,536.9249543,,,,,15967.5578,360.3401946,,,219.346,159.55,45.562,8.443,177,0,1
db11d2ade8eb093b71904c970f3cf3067220cb2b,5,10.63435952,,,,,0.519371251,8.133129692,,,211.781,155.353,40.925,10.524,4,0.2,1
d007be7a5b0890e85d44b4c12da5b3040f203512,1,1.834665661,,,,,20379.42894,24.83074204,,,180.857,151.568,22.363,4.415,4,0.02,0
697e1521b622c7dca3ab9d74cf9e74b40bd5748a,1,24.33146913,,,,,7.249927229,16.16503646,,,175.164,152.062,17.224,3.742,24,0,1
3dfc699a93462d51dc73e42beb55332c3f71d949,1,14.6164116,,,,,-5.378093795,128.7473443,,,172.418,154.601,12.147,3.312,46,3,0
cbd625b77439c772560754f0dba7f8ea7cfa06a1,27,2559.611622,,,,,574526.642,457.4479042,,,395.962,152.094,182.144,40.854,241,3.18,1
65fb33c1e3ad1f115c7d992b09c5f6aa5e24a81b,3,11.01962175,,,,,1191.358508,22.03808505,,,173.451,153.031,14.843,3.665,10,57.863,0
4f1496ba129598ee503fde33e2378b7712469bb9,15,87.84061636,,,,,2027.789013,76.9809452,,,199.534,151.904,36.211,8.272,50,0.092,1
d6b2f6d7159490804a4e7c18c021d65a5220b996,1,0.08,,,,,0,8.191324324,,,172.782,154.788,12.667,3.343,2,0.082,0
1901698c910da392bff102db5c07581663bc93e7,3,95.67690107,,,,,153.6322894,19.74396214,,,177.899,153.574,17.856,4.306,24,0,1
2fafaa142c3f9e8ccdad41d22f4eaaf9d5ada76a,9,205.2980912,,,,,-2513.800867,103.0634566,,,169.333,152.799,11.501,3.265,89,0,1
4fadfd0ecbde1ac02e598243a0041c49cd349b76,8,53.84447491,,,,,1016.326027,45.87909232,,,168.958,152.777,11.372,3.156,32,0,1
ba07c7fbda7ffb4f5fad24f5d02c03794db8c7c9,8,120.4856467,,,,,9154.842205,95.18663525,,,227.433,152.367,58.34,12.231,54,30.03,1
aa734544bfba94e6a7df836a181ba4064129c20b,5,11.53529588,,,,,12406.09655,15.99114509,,,168.552,152.718,11.177,3.132,10,0,1
e2f9cc6bf31b8da8e020e2f9c559e7b970c53c7b,13,542.5744576,,,,,10472.24854,75.84246637,,,192.109,152.681,29.626,7.503,62,0,1
8d42fd87c00b9691d393c15998135b5281d895f5,3,57.05425055,,,,,8139.202497,33.05604684,,,202.754,154.994,36.738,8.255,41,25.2,1
00cdc53606111e7802f8f5559d44feeccba2657f,6,22.21844043,,,,,4272.166604,21.56788128,,,168.536,152.473,11.281,3.203,23,0,1
6070b101a87b27f1bbbce0d97f740eb0956e1cf9,8,1352.515128,,,,,11086.06537,88.10529975,,,215.666,153.562,47.032,11.779,68,0,1
