Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
96ab171eb48dcea94fd9b8f425f65c531e6c3aad,20,236.2601445,7563.81757,59.36449239,,,47.831,1.662,34.031,7.754,,116,160.4,1
b1c399fd6296f2e61de37109847c957bab42d736,30,522.0248978,10331.52246,185.4819841,,,84.865,1.357,63.159,15.854,,188,34.651,1
4dda4ec5ba81a02406f40f3d73192ab9bc568f48,30,366.0281828,1948.408074,1579.834753,,,1173.309,1.325,897.829,221.74,,763,12.96,1
e82637c4856b026f1ff2575c5e3d60c516391b79,60,5018.075335,237534.857,950.9508883,,,250.653,1.406,190.903,48.463,,1239,0,1
b2b1424582f973457e15f4eeba35cd3c0c0ed2b6,5,11.79,0,0,,,99.627,1.262,73.821,21.642,,735,0.19,1
b5343ba96ce0e24c77e7be0efdb111f6fdf999ec,15,148.6746646,1828.436224,51.06226676,,,22.671,1.424,15.79,3.749,,57,0,1
7ee3e2787f45f5453b61a9af6c659993b4eba6d5,10,168.7893177,1542.120056,32.40571251,,,27.701,1.255,20.099,4.491,,8,0,1
49ddab9eeb6cbac686711deca6001d40e8d8500d,20,313.4119403,5674.758307,424.5410178,,,511.47,1.396,385.735,92.38,,209,95.05,1
47dea2eefc6d2816cddb3f30689070285491733c,20,119.0729866,8155.875697,51.60406545,,,37.771,1.308,27.542,7.058,,64,0,1
565b7a198e026596c3fd18304f86537ae20f9a3f,13,1740.636549,2566.709188,43.22733183,,,42.282,1.24,30.58,7.236,,40,0,1
e2e851c9bc692cec68ba7b0cbb002f82b4a229e4,17,1755.346018,47652.74407,265.7087944,,,134.847,1.196,104.164,24.146,,250,42.37,1
710a76c8b8835e36935c62024001ba6b91ceee01,10,79.26935921,1122.534475,46.12762976,,,90.351,1.215,69.906,15.997,,20,63.76666667,0
26e08fe742a9a023cc8eca454de8f84a0223d187,3,2.995307638,71.11650646,9.478913439,,,27.626,1.205,20.217,4.473,,4,0.11,0
73216b2ad7b16f669000b8d7bb443921ea1a5b55,4,40.20969055,1322.445431,13.9316278,,,45.961,1.209,34.481,8.298,,21,0,1
d38e3974211e89d8e6d74c94178a2db102c0748d,7,69.03519923,533.5389588,22.82070886,,,24.297,1.272,17.561,3.925,,7,0,1
6b96a389cc40d56fd3d00547c00a42ab2bef6098,5,11.72002266,419.3024385,45.43064126,,,42.565,1.214,30.239,7.551,,135,2.27,1
dc28951fa7e7112f0e229e0a4665ad27a1891d79,4,15.82015501,26.62967201,27.5216252,,,70.75,1.251,52.544,13.851,,80,11.04,1
615c8835d309e1be512dd98809b48332ce70250d,20,899.5280749,15485.37611,233.0644745,,,143.01,1.196,107.107,27.227,,146,11.7,1
6ffcdf302939ad405abdfb468218b8caafc46e9c,0,41.66858776,0,0,,,149.002,1.205,114.573,28.64,,60,0,1
eaf9a0342d69b4cbbfb3644ce42e196453ce164a,10,77.46915572,2992.139689,59.09115603,,,74.233,1.263,54.215,14.651,,67,71.53571429,1
16b42ff5805074126c2e5484450c182773e408a2,25,1225.346437,20022.74873,166.1957558,,,89.986,1.25,67.095,17.366,,160,0,1
0313de8206ca6f68b31c9c01978ec9899677649e,10,181.5467286,224.7439917,19.94757864,,,38.634,1.21,28.051,7.412,,19,2.845,0
6e06bf0d89ad71f317c920cdaf9981a0508446d3,15,59.40351968,1639.02897,22.54404396,,,50.347,1.227,38.584,8.188,,25,0,1
b0595c595bd2c052cd05e0283bb37b67c02bd06f,70,1507.945374,33086.09294,225.8195455,,,236.434,1.284,181.792,46.091,,702,0.05,1
ca2ed748ba6e31c4a319ea6f2d2dc7048021f0a0,20,489.1647141,2004.846001,40.29267994,,,135.117,1.217,102.228,25.541,,42,16.5,1
cc505e1b9fa6e6e29466914a348315f73d326d27,25,152.1416375,0,18.13397514,,,21.219,1.215,14.711,3.765,,651,0,1
a92bbf849c99b1fc708eb3dd209af9c72110ed4d,2,0.1,0,8.998563309,,,20.548,1.221,13.64,3.597,,4,0,1
deaa3a6cd9f4676e0c826eadadd2f3d6dc857096,20,432.3088549,6457.669678,65.42080966,,,44.286,1.253,33.025,7.673,,86,0,1
e0de45ff69ba3daacc3b7623cc74fc69a4eaf6d0,1,26.88,0,0,,,38.472,1.221,28.248,7.306,,1182,0,1
b4dab86b105c85e6b7d7106c9ff11e3e923e3485,20,7015.923245,42585.30045,611.1130999,,,244.721,1.242,189.539,44.959,,624,463.2800741,1
b3188c113205bb41a980b09917b7f6b242cd32fc,25,1284.444843,21591.29936,145.3582351,,,36.393,1.253,24.98,8.127,,184,0,1
ba96d53bad35f7466073f14cb3d89d09383e1a2d,5,131.5949541,2309.512815,16.26440367,,,23.405,1.264,16.714,3.889,,8,5,0
ca1df7f7e09f6b1a763882029dd7057f475b31de,20,192.9033373,5492.537582,55.21994611,,,32.003,1.246,22.623,6.364,,76,5,1
