Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
8405f90aa92054802c73fa54c4fb2eede188e2bc,6,89.93365432,0,41.86395718,,,18.998,1.377,12.464,3.249,,60,0,1
7eddc637b64a8a3322655496617a2786b2683927,2,118.4628643,0,10.33863398,,,20.39,1.254,13.723,3.457,,10,0,1
bb59fbfe998dc741162fdee658ba8f45b7069c53,10,3.069699965,9.754887502,10.69840653,,,19.228,1.235,12.864,3.588,,1094,0.02,0
86e7ab75b34274ed06afba45dcd24fd72a871f11,9,188.6162419,0,21.40627966,,,18.326,1.242,12.317,3.401,,265,0,1
e0f12160dd854bf0106ed94d2a36125bad1b577c,7,128.7041848,2190.657572,61.75267468,,,75.309,1.438,56.419,14.474,,71,0.25,1
65d7d078a8e947bb58a633affffd32ad670e73f1,2,27.36174267,0,0,,,24.178,1.321,17.314,4.039,,2,0.04,0
b2554223ccae1d92b191eb10ba4a4866c88310f0,2,110.1992911,304.2333938,24.43364143,,,70.235,1.284,54.403,11.775,,12,14.65,0
25d7233fe32821994fd5b30a7e6209a0631c0a61,3,39.26148773,0,0,,,22.826,1.216,16.354,3.784,,2,0,1
9a998363f7c74081ab927ff19273e819b11f264b,3,24.31723957,0,10.34200313,,,24.074,1.216,16.314,3.807,,2,1,0
3fea88408466d0b1037d5ed5cd0c8dc1687aa01b,2,22.7986189,0,0,,,22.808,1.241,16.28,3.855,,1,2,0
1e8ede8007e76f7154dae55cbb08211ecb7b293f,2,38.60515796,0,0,,,22.902,1.23,16.428,3.8,,2,0,1
6bc51218d9e1d38966ac48f3977c45cf6cfb2f6e,2,9.867866215,0,0,,,24.466,1.215,17.889,3.868,,2,0,1
ad77056d77e72b15c8cdda310bf29311163e11d4,4,152.8696277,0,10.3479352,,,485.58,1.221,377.943,92.264,,307,0.2,1
3cd3868b658362dba5f99b9a24f603844b93cb6b,7,137.3737111,4247.631702,87.07767619,,,47.898,1.877,34.582,9.472,,189,11,1
909558ec1a12150596ef53779ed2d255d58327a9,1,4.8,0,0,,,133.045,1.208,100.059,28.173,,321,0.47,1
415a377e3bb7fe4497c3ee9f573d2652c1651038,2,71.24822937,1541.99131,226.96638,,,281.485,1.326,215.818,50.029,,87,4.8,1
155bc423453b77c1b395ee869abd52c8fd472717,1,19.03,0,0,,,101.309,1.281,76.507,20.478,,1265,0,1
2a4df0a72e462d2c842ca8bdeac2078883b3d83c,2,31.73167975,2619.817046,25.35392841,,,20.743,1.212,14.292,3.332,,21,0,1
bcc9fe45e39fa2d743616cf822c7f6dcbbff6e88,5,1594.815198,1907785.052,467.0276622,,,64.433,1.265,47.502,11.095,,367,0,1
c4854d5cf594e2cc03f3a3413d1576180617b843,3,25.20041632,0,22.07903558,,,22.039,1.24,15.408,3.621,,59,0,1
dea06c1087bf61738fd9e92d81a4c315b2eb5d02,3,171.5635719,904.4881678,28.6784178,,,36.182,1.226,25.729,7.154,,1411,0,1
bbd2f0d38415b797afc9445b69112292eab271fd,4,322.7290754,4906.860322,44.25749395,,,69.372,1.233,51.392,13.372,,121,7,1
d88175a45bbd102533e6de272bff75eaceff36b3,1,7.54,0,11.23533878,,,54.619,1.222,40.009,11.028,,474,0.01,1
240406ceafbef86e26a54049f1e70383a98a0a2b,1,0.301,0,0,,,47.502,1.234,33.608,10.428,,34,0,1
34eca95f9ef145f08570dcbc1838c58000cb08f8,1,0.403,0,0,,,23.666,1.281,16.933,3.916,,3,0,1
2aefd5494664a1b847d911e2919f8cfbd4260c12,4,30.13073041,1555.647629,286.4905334,,,183.444,1.256,139.582,35.067,,426,1.79,1
15c52304906ff5f39b8908b6fdaf0982e8abde17,1,1.213725923,13.11331228,21.22510426,,,21.584,1.209,15.15,3.666,,8,0.41,0
9d12b481ddd60f8a9cb1be5413a26b76bd9807cf,5,927.2348953,8213.415474,231.2853098,,,76.271,1.434,57.311,14.331,,172,0,1
c6fd1423ce4caa346f915ae7ae46df3d4b01c684,5,1361.562728,41184.13832,113.9091846,,,43.509,1.316,31.488,7.715,,157,39.83875,1
cf759d44c78e8490e3d54df6a27918e0811bbdf9,9,1252.796287,43680.60886,340.8852281,,,164.538,1.219,124.513,32.835,,427,25.953,1
25fe439254199107116eba235bc5f10c7b47c7c1,1,174.9929329,1709.749398,116.7453134,,,171.752,1.253,129.932,33.082,,67,20.02,1
ffd9d017a4b6390b5e4c616c6a8dec793da4a777,5,497.3241867,4930.376389,160.6247808,,,140.294,1.387,107.873,26.147,,108,8.83,1
0477f05101eb93a19554a566997cc34e1a20f044,4,97.19995568,4888.575442,38.33814992,,,88.79,1.21,66.834,17.267,,21,41.2,1
b007a40f7125dd71a51e7daf5f3d03902b6ee00d,2,0.303,0,0,,,21.761,1.222,15.143,3.917,,2,0,1
