Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
944e308a52e985e2498287a82f71dd4e03fc1724,95,226.4763509,4591.206546,57.06786015,,,43.119,1.747,29.184,7.102,,73,0,1
3bd017cb0a772f0c33d22dc1f8fd40012d33dab9,90,265.8133765,893.1795275,65.86720061,,,41.521,1.227,29.695,8.201,,32,96.81,0
91a93accd70fc8ef91a68b6dbfe6d211e7679719,50,0.1,0,0,,,19.787,1.26,13.333,3.646,,25,0,1
9e0ff508e82fcdf8b8e6edfe5885dae06d48f638,40,8.061519315,2.501285021,22.95432272,,,26.354,1.281,19.068,4.033,,22,0,1
26dcc6f914999aa3b07ede45e0717ad2e60053a0,100,654.9913963,12193.84302,397.3168143,,,237.237,1.257,180.08,47.21,,451,0,1
db47570efefe32054f6d5a45cf0023e9d6927338,90,743.2136069,3708.8601,87.11381126,,,92.153,1.213,69.385,17.981,,227,74.90361599,1
34327ae83e0055a4ebc354677f446c23d793e119,10,7.372740552,0,9.838864727,,,20.925,1.735,14.129,3.547,,3,0.55,0
daac18619a5fea8a68a0eff17037a46d364a8d43,50,0.613,130.8109964,41.87875363,,,23.507,1.253,16.779,3.773,,23,0,1
62fb4bcbe09c5fb002dcebe408c7bd1d1c0990f4,70,331.1439106,10910.31902,80.24706986,,,44.98,1.348,33.309,8.449,,157,16.31578947,1
36678c44dc0e43906908f68bc4ffbb5ae615f40d,10,0.403,0,0,,,25.16,1.267,18.151,4.124,,3,0,1
94017237b2046574267f46bf6f441bc560378b58,80,559.7882278,3575.648281,54.88976115,,,84.813,1.263,59.968,16.342,,67,77.88277861,1
c395aad5adb4e9ee312559937c08382ea8215e7c,20,3.132424806,0,10.06703823,,,22.197,1.305,15.546,3.819,,3,1,0
f00ce5da9ef8b0de42717e62ccdbf30765e25af3,80,2485.798957,54905.25149,534.1906468,,,294.139,1.229,222.602,51.322,,694,27.5,1
a3bbcc82ae9ad126ae1d0cb7b0839c288ed05c70,70,4219.516885,0,185.3178419,,,105.426,1.241,80.664,20.142,,18,1,1
5f9bc347ee6a2191b2ad10eb2e0ed4c19d35f83d,60,4.859091594,0,10.31398681,,,19.703,1.445,13.291,3.471,,9,0,1
6a487ba686bafed9c642069e6046337af1bfd3a6,80,553.9706365,13666.36429,141.2217423,,,64.575,1.261,47.968,11.701,,80,2,1
23bb9b89deb6d09a29dd87ac9cb0ed7b864ae910,70,622.6877276,2753.090705,53.23380375,,,19.257,1.239,12.846,3.458,,54,0,1
04aeaa5bcdd63d6a21ea8ce64e27066da689683c,80,192.6806775,6158.743608,138.1307669,,,110.01,1.215,84.219,21.125,,222,0,1
157174543fb28cf701937e4a377fc851ad3e0f3a,80,99.6875622,0,67.64115073,,,47.997,1.2,34.982,9.603,,28,0,1
19626731c0016f6a0dccaabad8ff2eac00c416a3,95,2406.682772,21820.49507,282.5741686,,,154.744,1.261,115.049,29.495,,307,0,1
b9a6b5ed897c0a4cafc52d96dd88c6eceac3797f,80,182.8864362,1540.363238,64.2015378,,,19.819,1.227,13.226,3.534,,36,0,1
8881ef4b3fe80245ce0057eb7d6863ec4265ff71,60,0.01,2.660110872,10.9395953,,,21.218,1.253,14.042,3.612,,3,0.001,0
235900eb57e3a7cdf84021858062025aab861338,70,188.5990967,1206.41136,24.50816656,,,39.818,1.215,27.123,7.757,,5,79.38,0
75e8dc6f9bf8b2e80924bf6d0420790c20ad97fa,70,4.372407101,0,10.25752383,,,20.269,1.292,13.582,3.474,,8,0.4,0
d4c0e961ab69a8e170534b290bfd9276dcdf0078,80,1.16004449,0,10.19993977,,,20.02,1.214,13.756,3.617,,4,0.2,0
3ee994b25c9974f9de16c71506b15ea1991febf5,50,13.01541229,0,13.65672696,,,21.672,1.226,14.705,3.764,,21,1,0
9e876e7ff004608bc74a9b723195119123ee6625,60,0.353,0,10.41723623,,,23.368,1.219,16.752,3.898,,1,0.14,0
d2a9977290d05868c94ee027cfa3ef472b159dcd,40,30.0819995,0,11.04653179,,,23.851,1.234,17.171,3.94,,6,13.12,0
dd0bbda07091d1f5532cf998ed91c90751049d33,75,14.95333063,0,14.08441903,,,24.527,1.228,16.145,3.649,,3,9,0
e6ad081b3c1612a538f0108813cd7c10870d26f9,76,2293.555389,682.6659516,169.723936,,,149.812,1.218,112.405,28.302,,294,62.274,1
19571aa20755f14984410aa0b3f1a1b3b4c146ec,70,176.1847033,0,9.958657614,,,26.874,1.296,19.332,4.668,,6,0,1
