Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
55723f14145aa12dfbdae965db4c95eadaa727ad,10,22.76048824,525.343659,12.21363162,,,23.209,1.441,15.199,3.564,,7,36,0
f09145d0e2bc47090b8eb03f4b52ea85d3f414e3,1,1.888088208,0,10.79877483,,,24.654,1.267,17.703,3.933,,4,0.2,0
ece5876b65fad1a5ea0bf7985abc1b9aba1e08ac,20,600.2161614,17432.0358,72.19564719,,,38.7,1.235,26.74,7.003,,57,76.382,0
e556a29067b8deabbe86bbf6681ef18b6b2b61ac,60,1042.482396,1577.8147,188.2810031,,,98.417,1.235,74.562,18.141,,928,0,1
7103d55bc433b5e68a8eb5b95afd770924d716f2,50,412.8741938,16532.68641,43.61214052,,,38.985,1.28,27.729,7.151,,205,10.5,0
9cd38f61d82e161edfed0f6d10b2fdefc535f85a,2,9.800310193,0,10.66748712,,,25.983,1.271,18.687,4.318,,1,2,0
921b9c4da890ea4d2205a1367d618d2dbbe9adbb,20,6147.7278,0,0,,,449.693,1.295,355.124,80.354,,179,0,1
c7fb23693b1d9822b13d9509303c60c490cc4af5,17,399.9391068,16.85759618,111.6239965,,,149.262,1.238,113.835,28.339,,227,0.4,1
e6d658cf0e9ed285dd81981e1dac85eb07c69182,22,1081.116182,46265.86348,161.9302353,,,67.607,1.241,51.147,11.565,,272,46.42,0
3ca313fd114edc21b1e8d63da0ad4ca63179ce31,13,113.0547022,3512.137066,80.79013858,,,36.559,1.223,24.988,7.666,,82,8.78,0
dd90c234e70ccff077e95c14c944b76fa7be8f32,47,1729.024177,8402.05303,743.9522085,,,374.075,1.208,283.972,77.514,,773,1.2,0
0b1a6355eb721c4fbe716aee14c2bad46e74b98f,40,256.7908867,2097.026212,169.4544567,,,135.824,1.339,102.066,26.98,,233,0,1
087a1006adf9676e79539f890dd80c2321aba8dd,7,52.94625487,0,13.34405722,,,26.539,1.262,19.494,4.198,,14,5.36,0
a3c77ef69d4449881a55f43d600e40029a2ee6fd,12,288.3643161,5290.625753,50.03666029,,,70.18,1.24,53.212,12.741,,34,22.2,1
cffa113f46792e05b32401669f42af71a4ea7291,6,37.23561994,534.8453923,21.76221257,,,37.335,1.262,26.715,7.308,,13,51.2,0
fb864e2ad20ca495b33baf5b7f98ce7bc7f58a0b,10,206.7900227,234.4991235,54.63923219,,,39.719,1.268,28.539,7.4,,28,14.5,0
e614f1b75bfb1144b9782159bae5e83f8fee08af,13,523.1290428,2145.380655,105.7441533,,,82.086,1.215,61.786,15.732,,129,0,1
9d69aeb1ab56ebf7d99d5007404ea534bff8a382,15,218.5365037,3120.897449,120.4401534,,,36.088,1.229,25.792,7.148,,104,0,1
b313afc611c16936e8c69c6bc533864014b70f4d,14,313.2124367,3989.838282,49.94111496,,,69.664,1.493,52.931,12.14,,55,99.93214286,0
0f0597be4975edc6387b64d2cc577f155881e13a,16,281.0295342,0,39.68537513,,,20.277,1.268,13.494,3.443,,48,0,1
b267859d1831c677c62dd66d1f17c3c16310fc38,1,30.84541513,0,0,,,21.366,1.249,13.96,3.874,,12,0,1
4925770aaecd47c2b1c01e517ba096b4ba609da0,0,58.84147345,3.826830731,41.23447685,,,57.617,1.22,42.541,11.222,,22,0.4,1
ec19e2e51280d83ae3db34301b3b3cd8d420dab8,4,597.5057977,1432.229451,47.83813976,,,37.396,1.269,26.406,7.024,,65,0,1
6f7d0d13e2db1a0fc4952fc201ad7bfc4a9e66c7,3,141.5168449,54523.3591,58.88739168,,,32.2,1.219,23.687,5.152,,6,12.04,0
8629781127259e1c337ac9079f825eaaa6ba6601,20,1155.44419,243150.2133,241.033962,,,48.132,1.548,35.254,8.166,,155,0,1
5b6f3dd75ea0d05bff5ad9ae18f9fe7f40640867,15,424.0241251,977.6431086,54.55598714,,,38.148,1.268,26.876,7.133,,110,0.02,1
e59f2fa686a60463906a681177fb7c3a869694d5,18,270.8667384,11737.65534,410.3625457,,,202.111,1.227,155.061,38.996,,165,57.72,1
